rho,u,v,x,y
0.9486592412,1.080895185,-0.00143886,23.03756332,-20
0.9485964775,1.080936074,-0.0016970417,23.11096573,-20
0.9485365152,1.080978751,-0.0019422626,23.18451118,-20
0.9484801292,1.081023693,-0.0021711427,23.25819969,-20
0.9484279752,1.081071496,-0.0023806924,23.33203125,-20
0.9483807087,1.081121922,-0.0025684319,23.40600395,-20
0.9483389854,1.08117497,-0.0027324893,23.48012161,-20
0.9483033419,1.081229806,-0.0028716677,23.55438232,-20
0.948274374,1.081285834,-0.0029854681,23.62878609,-20
0.9482524395,1.081341982,-0.0030740607,23.7033329,-20